Store ID,Customer ID,Customer Name,City,State,Region
CG-12520,CG-12520,Claire Gute,Henderson,Kentucky,South
CG-12520,CG-12520,Claire Gute,Henderson,Kentucky,South
DV-13045,DV-13045,Darrin Van Huff,Los Angeles,California,West
SO-20335,SO-20335,Sean O'Donnell,Fort Lauderdale,Florida,South
SO-20335,SO-20335,Sean O'Donnell,Fort Lauderdale,Florida,South
BH-11710,BH-11710,Brosina Hoffman,Los Angeles,California,West
BH-11710,BH-11710,Brosina Hoffman,Los Angeles,California,West
BH-11710,BH-11710,Brosina Hoffman,Los Angeles,California,West
BH-11710,BH-11710,Brosina Hoffman,Los Angeles,California,West
BH-11710,BH-11710,Brosina Hoffman,Los Angeles,California,West
BH-11710,BH-11710,Brosina Hoffman,Los Angeles,California,West
BH-11710,BH-11710,Brosina Hoffman,Los Angeles,California,West
AA-10480,AA-10480,Andrew Allen,Concord,North Carolina,South
IM-15070,IM-15070,Irene Maddox,Seattle,Washington,West
HP-14815,HP-14815,Harold Pawlan,Fort Worth,Texas,Central
HP-14815,HP-14815,Harold Pawlan,Fort Worth,Texas,Central
PK-19075,PK-19075,Pete Kriz,Madison,Wisconsin,Central
AG-10270,AG-10270,Alejandro Grove,West Jordan,Utah,West
ZD-21925,ZD-21925,Zuschuss Donatelli,San Francisco,California,West
ZD-21925,ZD-21925,Zuschuss Donatelli,San Francisco,California,West
ZD-21925,ZD-21925,Zuschuss Donatelli,San Francisco,California,West
KB-16585,KB-16585,Ken Black,Fremont,Nebraska,Central
KB-16585,KB-16585,Ken Black,Fremont,Nebraska,Central
SF-20065,SF-20065,Sandra Flanagan,Philadelphia,Pennsylvania,East
EB-13870,EB-13870,Emily Burns,Orem,Utah,West
EH-13945,EH-13945,Eric Hoffmann,Los Angeles,California,West
EH-13945,EH-13945,Eric Hoffmann,Los Angeles,California,West
TB-21520,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,East
TB-21520,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,East
TB-21520,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,East
TB-21520,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,East
TB-21520,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,East
TB-21520,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,East
TB-21520,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,East
MA-17560,MA-17560,Matt Abelman,Houston,Texas,Central
GH-14485,GH-14485,Gene Hale,Richardson,Texas,Central
GH-14485,GH-14485,Gene Hale,Richardson,Texas,Central
SN-20710,SN-20710,Steve Nguyen,Houston,Texas,Central
SN-20710,SN-20710,Steve Nguyen,Houston,Texas,Central
SN-20710,SN-20710,Steve Nguyen,Houston,Texas,Central
SN-20710,SN-20710,Steve Nguyen,Houston,Texas,Central
LC-16930,LC-16930,Linda Cazamias,Naperville,Illinois,Central
RA-19885,RA-19885,Ruben Ausman,Los Angeles,California,West
ES-14080,ES-14080,Erin Smith,Melbourne,Florida,South
ON-18715,ON-18715,Odella Nelson,Eagan,Minnesota,Central
ON-18715,ON-18715,Odella Nelson,Eagan,Minnesota,Central
PO-18865,PO-18865,Patrick O'Donnell,Westland,Michigan,Central
LH-16900,LH-16900,Lena Hernandez,Dover,Delaware,East
LH-16900,LH-16900,Lena Hernandez,Dover,Delaware,East
DP-13000,DP-13000,Darren Powers,New Albany,Indiana,Central
DP-13000,DP-13000,Darren Powers,New Albany,Indiana,Central
DP-13000,DP-13000,Darren Powers,New Albany,Indiana,Central
DP-13000,DP-13000,Darren Powers,New Albany,Indiana,Central
JM-15265,JM-15265,Janet Molinari,New York City,New York,East
